,x
853,POLR3K
854,POLR3H
855,ALLC
856,DCK
857,PDE10A
858,PDE7A
859,GUCY1A2
860,PRIM1
861,PDE8B
862,AMPD2
863,PFAS
864,NPR1
865,NPR2
866,ENTPD4
867,ENTPD3
868,ENTPD2
869,ENTPD1
870,ENPP4
871,POLR3GL
872,APRT
873,ADCY7
874,GUK1
875,PDE8A
876,GMPR
877,GMPS
878,NME4
879,ADCY5
880,ADCY6
881,NME7
882,NME1
883,NME2
884,ADCY3
885,NME3
886,ADCY8
887,ADCY9
888,GUCY1B1
889,ADCY1
890,POLR1A
891,POLR1B
892,ADCY4
893,POLR1D
894,POLR1E
895,ADCY2
896,NT5M
897,NT5C
898,NT5E
899,XDH
900,GUCY1A1
901,PAICS
902,PPAT
903,RRM2B
904,NT5C1B-RDH14
905,NUDT2
906,PDE5A
907,NUDT9
908,URAD
909,GUCY2C
910,GUCY2D
911,GUCY2F
912,ADA2
913,NUDT5
914,POLR2E
915,POLR2D
916,POLR2G
917,POLR2F
918,POLR2A
919,POLR2C
920,POLR2B
921,POLR2L
922,GART
923,POLR2I
924,POLR2H
925,POLR2K
926,POLR2J
927,PDE6B
928,PDE6C
929,PDE6A
930,POLE3
931,PDE6G
932,PDE6D
933,PDE6H
934,POLR2J2
935,POLR2J3
936,ADSS
937,AMPD3
938,NT5C3A
939,AMPD1
940,POLE
941,PDE11A
942,ADCY10
943,ADSL
944,NT5C3B
945,ADSSL1
946,HPRT1
947,PDE3A
948,PDE3B
949,POLD1
950,POLD2
951,POLD3
952,POLD4
953,PRIM2
954,NUDT16
955,ADA
956,ADK
957,ZNRD1
958,AK8
959,AK3
960,AK2
961,AK1
962,AK7
963,AK6
964,AK5
965,AK4
966,GDA
967,POLR1C
968,DGUOK
969,PDE4A
970,PDE4B
971,PDE4C
972,PDE4D
973,POLA2
974,POLA1
975,ATIC
976,ENTPD6
977,PNPT1
978,ENTPD5
979,PDE9A
980,RRM2
981,RRM1
982,NTPCR
983,PDE1C
984,PDE1B
985,PDE1A
986,AK9
987,IMPDH1
988,IMPDH2
989,PDE7B
990,POLE4
991,NT5C1B
992,NT5C1A
993,GMPR2
994,NT5C2
995,POLE2
996,CANT1
997,ENTPD8
998,NME6
999,PNP
1000,PDE2A
1001,ITPA
1002,TWISTNB
1003,PRUNE1
1004,UPRT
1005,DCTPP1
1006,UPB1
1007,UCKL1
1008,DHODH
1009,DCTD
1010,UMPS
1011,UCK1
1012,UCK2
1013,TK2
1014,TK1
1015,CTPS2
1016,CTPS1
1017,DUT
1018,CDA
1019,CAD
1020,DPYD
1021,CMPK1
1022,CMPK2
1023,DPYS
1024,DTYMK
1025,UPP2
1026,UPP1
1027,TYMS
1028,TYMP
1029,NIT2
1030,ASNS
1031,GLS
1032,ASS1
1033,ASPA
1034,GOT2
1035,IL4I1
1036,GOT1
1037,ASL
1038,RIMKLA
1039,RIMKLB
1040,DDO
1041,GPT
1042,AGXT2
1043,NAT8L
1044,ALDH4A1
1045,GPT2
1046,FOLH1
1047,GLS2
1048,AOC2
1049,GNMT
1050,SDS
1051,AOC3
1052,GAMT
1053,DMGDH
1054,GCAT
1055,CTH
1056,CBSL
1057,BHMT
1058,ALAS1
1059,DAO
1060,GATM
1061,ALAS2
1062,SRR
1063,PHGDH
1064,CHDH
1065,SDSL
1066,PIPOX
1067,PSPH
1068,PSAT1
1069,MAOB
1070,MAOA
1071,SARDH
1072,CBS
1073,GSS
1074,APIP
1075,CDO1
1076,BHMT2
1077,TAT
1078,ADI1
1079,GCLM
1080,AHCYL1
1081,AHCYL2
1082,MTAP
1083,DNMT1
1084,GCLC
1085,MRI1
1086,KYAT1
1087,KYAT3
1088,AMD1
1089,DNMT3B
1090,DNMT3A
1091,MAT2A
1092,MAT2B
1093,MTR
1094,SMS
1095,ENOPH1
1096,BCAT2
1097,BCAT1
1098,SRM
1099,MAT1A
1100,AHCY
1101,AOX1
1102,HSD17B10
1103,HIBADH
1104,ACSF3
1105,AUH
1106,MCCC2
1107,MCCC1
1108,IVD
1109,ACAD8
1110,COLGALT2
1111,EZH1
1112,BBOX1
1113,KMT5C
1114,KMT5A
1115,KMT2A
1116,SETD1A
1117,SETD1B
1118,KMT5B
1119,EHMT1
1120,EHMT2
1121,KMT2E
1122,AASS
1123,PLOD3
1124,PLOD1
1125,PLOD2
1126,SETDB1
1127,SETDB2
1128,KMT2C
1129,KMT2B
1130,PHYKPL
1131,AADAT
1132,SETMAR
1133,KMT2D
1134,SUV39H1
1135,EZH2
1136,SUV39H2
1137,COLGALT1
1138,HYKK
1139,SETD3
1140,SETD2
1141,SETD7
1142,CAMKMT
1143,DOT1L
1144,PRDM6
1145,PRDM7
1146,PRDM2
1147,NSD1
1148,NSD3
1149,NSD2
1150,ASH1L
1151,PRDM9
1152,TMLHE
1153,NOS1
1154,NOS2
1155,NOS3
1156,NAGS
1157,ARG1
1158,ARG2
1159,OTC
1160,ABHD14A-ACY1
1161,ACY1
1162,AOC1
1163,SAT1
1164,SAT2
1165,CKB
1166,CKM
1167,LAP3
1168,CKMT1B
1169,P4HA2
1170,P4HA3
1171,P4HA1
1172,PYCR3
1173,PYCR2
1174,PYCR1
1175,ODC1
1176,CARNS1
1177,L3HYPDH
1178,SMOX
1179,PRODH2
1180,ALDH18A1
1181,CKMT1A
1182,AGMAT
1183,CNDP1
1184,CNDP2
1185,CKMT2
1186,AZIN2
1187,PRODH
1188,OAT
1189,HDC
1190,AMDHD1
1191,CARNMT1
1192,HNMT
1193,HAL
1194,UROC1
1195,FTCD
1196,MIF
1197,FAHD1
1198,FAH
1199,TH
1200,DCT
1201,TYRP1
1202,TPO
1203,DDC
1204,HGD
1205,HPD
1206,DBH
1207,GSTZ1
1208,PNMT
1209,TYR
1210,GLYAT
1211,PAH
